"","Animal_ID","Species_ab","Protein","U_mL","ave_neg_U_mL","Positive"
"254",79,"Mouse","NP",11.49024835,45.8941407216667,FALSE
"255",101,"Mouse","NP",NA,45.8941407216667,FALSE
"256",103,"Mouse","NP",342.7608371,45.8941407216667,TRUE
"257",104,"Mouse","NP",9.810016391,45.8941407216667,FALSE
"258",105,"Mouse","NP",NA,45.8941407216667,FALSE
"259",106,"Mouse","NP",11.96961879,45.8941407216667,FALSE
"260",107,"Mouse","NP",NA,45.8941407216667,FALSE
"261",109,"Mouse","NP",NA,45.8941407216667,FALSE
"262",110,"Mouse","NP",3.762167122,45.8941407216667,FALSE
"263",112,"Mouse","NP",NA,45.8941407216667,FALSE
"264",113,"Mouse","NP",157.3846338,45.8941407216667,TRUE
"265",114,"Mouse","NP",4.006253701,45.8941407216667,FALSE
"266",115,"Mouse","NP",NA,45.8941407216667,FALSE
"267",116,"Mouse","NP",NA,45.8941407216667,FALSE
"268",118,"Mouse","NP",4.493654729,45.8941407216667,FALSE
"269",125,"Mouse","NP",8.366303641,45.8941407216667,FALSE
"270",127,"Mouse","NP",NA,45.8941407216667,FALSE
"271",128,"Mouse","NP",7.642999451,45.8941407216667,FALSE
"272",131,"Mouse","NP",168.2829759,45.8941407216667,TRUE
"273",134,"Mouse","NP",23.17722417,45.8941407216667,FALSE
"274",135,"Mouse","NP",8.512676295,45.8941407216667,FALSE
"275",140,"Mouse","NP",2.48344835,45.8941407216667,FALSE
"276",141,"Mouse","NP",6.065957908,45.8941407216667,FALSE
"277",147,"Mouse","NP",2.48344835,45.8941407216667,FALSE
"278",148,"Mouse","NP",1.302603673,45.8941407216667,FALSE
"279",151,"Mouse","NP",1.826852138,45.8941407216667,FALSE
"280",152,"Mouse","NP",9.173929558,45.8941407216667,FALSE
"281",153,"Mouse","NP",8.776378301,45.8941407216667,FALSE
"282",155,"Mouse","NP",6.826450087,45.8941407216667,FALSE
