Animal_ID,Species_ab,Protein,U_mL
361,Mouse,NP,864.9597405
362,Mouse,NP,4.399895338
363,Mouse,NP,NA
365,Mouse,NP,NA
370,Mouse,NP,1093.476155
373,Mouse,NP,NA
375,Mouse,NP,NA
379,Mouse,NP,NA
380,Mouse,NP,NA
382,Mouse,NP,2.967552952
387,Mouse,NP,NA
389,Mouse,NP,NA
390,Mouse,NP,NA
397,Mouse,NP,1094.576609
398,Mouse,NP,NA
401,Mouse,NP,NA
402,Mouse,NP,NA
403,Mouse,NP,3.702699649
404,Mouse,NP,NA
406,Mouse,NP,NA
407,Mouse,NP,NA
415,Mouse,NP,NA
422,Mouse,NP,NA
424,Mouse,NP,NA
426,Mouse,NP,NA
427,Mouse,NP,9.546143354
429,Mouse,NP,NA
430,Mouse,NP,1220.437979
431,Mouse,NP,NA
432,Mouse,NP,NA
433,Mouse,NP,NA
434,Mouse,NP,NA
435,Mouse,NP,1178.830185
436,Mouse,NP,5.554242254
438,Mouse,NP,NA
439,Mouse,NP,1221.097251
440,Mouse,NP,482.8783817
441,Mouse,NP,NA
442,Mouse,NP,1351.251007
443,Mouse,NP,NA
444,Mouse,NP,1195.184677
445,Mouse,NP,36.54021165
446,Mouse,NP,2150.116549
447,Mouse,NP,1558.823457
449,Mouse,NP,NA
450,Mouse,NP,NA
452,Mouse,NP,8.931739769
453,Mouse,NP,NA
454,Mouse,NP,NA
455,Mouse,NP,366.605897
456,Mouse,NP,8.407411519
459,Mouse,NP,5671.71968
461,Mouse,NP,NA
462,Mouse,NP,NA
463,Mouse,NP,50.63356273
464,Mouse,NP,3473.884416
465,Mouse,NP,14.00580071
466,Mouse,NP,165.4971819
467,Mouse,NP,NA
468,Mouse,NP,NA
469,Mouse,NP,NA
470,Mouse,NP,NA
471,Mouse,NP,NA
472,Mouse,NP,NA
473,Mouse,NP,NA
474,Mouse,NP,6.408204577
476,Mouse,NP,NA
477,Mouse,NP,39.7199412
478,Mouse,NP,NA
479,Mouse,NP,3302.1654
485,Mouse,NP,NA
498,Mouse,NP,NA
499,Mouse,NP,NA
509,Mouse,NP,13.22098281
512,Mouse,NP,2.215361701
528,Mouse,NP,NA
529,Mouse,NP,NA
531,Mouse,NP,NA
532,Mouse,NP,NA
209,Mouse,NP,3.377425389
1,Rat,GP,4.102783999
3,Rat,GP,5.051066265
4,Rat,GP,39.30301398
5,Rat,GP,2.459350827
7,Rat,GP,1.1044982
9,Rat,GP,NA
10,Rat,GP,NA
11,Rat,GP,2.254025696
12,Rat,GP,NA
13,Rat,GP,4.006725202
14,Rat,GP,NA
15,Rat,GP,5.796753428
16,Rat,GP,NA
20,Rat,GP,NA
21,Rat,GP,2.662465902
22,Rat,GP,6.350240051
24,Rat,GP,1.329477682
25,Rat,GP,NA
26,Rat,GP,NA
28,Rat,GP,NA
29,Rat,GP,9.487337274
34,Rat,GP,NA
37,Rat,GP,NA
40,Rat,GP,3.781561564
64,Rat,GP,2.493349579
73,Rat,GP,NA
77,Rat,GP,NA
81,Rat,GP,NA
108,Rat,GP,NA
111,Rat,GP,NA
119,Rat,GP,NA
122,Rat,GP,4.006725202
126,Rat,GP,2.150442834
129,Rat,GP,NA
130,Rat,GP,NA
132,Rat,GP,NA
138,Rat,GP,NA
139,Rat,GP,NA
142,Rat,GP,NA
143,Rat,GP,3.813819372
144,Rat,GP,1.979486931
146,Rat,GP,1.592505396
182,Rat,GP,NA
183,Rat,GP,NA
186,Rat,GP,NA
193,Rat,GP,NA
194,Rat,GP,NA
195,Rat,GP,1.640343181
201,Rat,GP,2.102326748
203,Rat,GP,1.308971323
204,Rat,GP,NA
218,Rat,GP,NA
223,Rat,GP,NA
236,Rat,GP,NA
247,Rat,GP,NA
252,Rat,GP,2.627267264
255,Rat,GP,2.201214044
258,Rat,GP,2.126997971
267,Rat,GP,1.077680239
270,Rat,GP,NA
281,Rat,GP,NA
282,Rat,GP,NA
283,Rat,GP,NA
286,Rat,GP,1.009271301
288,Rat,GP,2.325569422
299,Rat,GP,5.516102086
335,Rat,GP,1.497315657
336,Rat,GP,4.250641609
337,Rat,GP,1.355794099
340,Rat,GP,1.332360206
344,Rat,GP,1.521051401
333,Rat,GP,NA
343,Rat,GP,NA
345,Rat,GP,NA
346,Rat,GP,NA
349,Rat,GP,NA
351,Rat,GP,NA
355,Rat,GP,NA
356,Rat,GP,NA
357,Rat,GP,NA
358,Rat,GP,NA
359,Rat,GP,NA
364,Rat,GP,NA
369,Rat,GP,NA
371,Rat,GP,NA
372,Rat,GP,NA
374,Rat,GP,NA
378,Rat,GP,NA
381,Rat,GP,NA
384,Rat,GP,NA
385,Rat,GP,NA
386,Rat,GP,NA
388,Rat,GP,NA
391,Rat,GP,NA
393,Rat,GP,NA
394,Rat,GP,NA
395,Rat,GP,NA
399,Rat,GP,NA
400,Rat,GP,9.289358079
405,Rat,GP,NA
408,Rat,GP,NA
409,Rat,GP,NA
410,Rat,GP,NA
411,Rat,GP,NA
412,Rat,GP,NA
414,Rat,GP,NA
417,Rat,GP,NA
418,Rat,GP,NA
419,Rat,GP,NA
420,Rat,GP,NA
421,Rat,GP,NA
448,Rat,GP,NA
451,Rat,GP,NA
458,Rat,GP,NA
486,Rat,GP,NA
488,Rat,GP,NA
490,Rat,GP,NA
497,Rat,GP,NA
500,Rat,GP,NA
502,Rat,GP,NA
503,Rat,GP,NA
504,Rat,GP,NA
505,Rat,GP,NA
506,Rat,GP,NA
507,Rat,GP,NA
511,Rat,GP,NA
513,Rat,GP,NA
515,Rat,GP,NA
516,Rat,GP,NA
517,Rat,GP,NA
518,Rat,GP,NA
519,Rat,GP,NA
520,Rat,GP,NA
521,Rat,GP,NA
522,Rat,GP,NA
523,Rat,GP,5.567459621
524,Rat,GP,NA
526,Rat,GP,NA
527,Rat,GP,NA
71,Rat,GP,NA
78,Rat,GP,NA
191,Rat,GP,NA
1,Rat,NP,NA
3,Rat,NP,NA
4,Rat,NP,1.969160378
5,Rat,NP,NA
7,Rat,NP,NA
9,Rat,NP,NA
10,Rat,NP,NA
11,Rat,NP,NA
12,Rat,NP,27.21337357
13,Rat,NP,NA
14,Rat,NP,NA
15,Rat,NP,NA
16,Rat,NP,NA
20,Rat,NP,NA
21,Rat,NP,NA
22,Rat,NP,NA
24,Rat,NP,NA
25,Rat,NP,NA
26,Rat,NP,NA
28,Rat,NP,NA
29,Rat,NP,NA
34,Rat,NP,NA
37,Rat,NP,NA
40,Rat,NP,NA
64,Rat,NP,NA
73,Rat,NP,NA
77,Rat,NP,NA
81,Rat,NP,NA
108,Rat,NP,NA
111,Rat,NP,NA
119,Rat,NP,NA
122,Rat,NP,NA
126,Rat,NP,1.891957332
129,Rat,NP,NA
130,Rat,NP,NA
132,Rat,NP,NA
138,Rat,NP,NA
139,Rat,NP,NA
142,Rat,NP,NA
143,Rat,NP,NA
144,Rat,NP,NA
146,Rat,NP,NA
182,Rat,NP,NA
183,Rat,NP,NA
186,Rat,NP,NA
193,Rat,NP,NA
194,Rat,NP,NA
195,Rat,NP,NA
201,Rat,NP,NA
203,Rat,NP,NA
204,Rat,NP,NA
218,Rat,NP,NA
223,Rat,NP,NA
236,Rat,NP,NA
247,Rat,NP,NA
252,Rat,NP,NA
255,Rat,NP,2.256137066
258,Rat,NP,NA
267,Rat,NP,NA
270,Rat,NP,NA
281,Rat,NP,NA
